epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9428125023841858,400.0,515.0,0.1885908842086792,0.9363017678260803,0.9498118162155151,7515.0,7570.0,0.9612500071525574,55.0,100.0,0.13126960396766663,0.9518072009086609,0.9729064106941223,1870.0,1975.0
1,0.9710000157356262,221.0,243.0,0.0866290032863617,0.9695945978164673,0.9722710251808167,7787.0,7749.0,0.9817500114440918,10.0,63.0,0.05030462145805359,0.9697551727294922,0.9950739145278931,1907.0,2020.0
2,0.9839375019073486,118.0,139.0,0.051566436886787415,0.9826054573059082,0.9851945042610168,7891.0,7852.0,0.9750000238418579,9.0,91.0,0.06413371115922928,0.9569128751754761,0.9955664873123169,1879.0,2021.0
3,0.9874374866485596,101.0,100.0,0.038239434361457825,0.9874513745307922,0.9873274564743042,7930.0,7869.0,0.9837499856948853,3.0,62.0,0.04094448313117027,0.9703207015991211,0.998522162437439,1908.0,2027.0
4,0.9888749718666077,85.0,93.0,0.03256658837199211,0.9883429408073425,0.9893350005149841,7937.0,7885.0,0.9940000176429749,7.0,17.0,0.02117108553647995,0.9916666746139526,0.9965517520904541,1953.0,2023.0
5,0.9903749823570251,76.0,78.0,0.026936065405607224,0.9902157783508301,0.9904642701148987,7952.0,7894.0,0.9952499866485596,7.0,12.0,0.01822230964899063,0.994103193283081,0.9965517520904541,1958.0,2023.0
6,0.992062509059906,62.0,65.0,0.024313606321811676,0.9918474555015564,0.9922208189964294,7965.0,7908.0,0.9897500276565552,4.0,37.0,0.03381922468543053,0.982064962387085,0.9980295300483704,1933.0,2026.0
7,0.9909999966621399,64.0,80.0,0.023942187428474426,0.9899824857711792,0.991969883441925,7950.0,7906.0,0.9950000047683716,12.0,8.0,0.01573149859905243,0.9960513114929199,0.9940886497497559,1962.0,2018.0
8,0.9925000071525574,57.0,63.0,0.020708657801151276,0.9921013116836548,0.9928481578826904,7967.0,7913.0,0.9934999942779541,9.0,17.0,0.020791862159967422,0.9916585087776184,0.9955664873123169,1953.0,2021.0
9,0.9934375286102295,53.0,52.0,0.020591238513588905,0.9934747219085693,0.993350088596344,7978.0,7917.0,0.9955000281333923,5.0,13.0,0.015062185935676098,0.9936211705207825,0.9975369572639465,1957.0,2025.0
10,0.9946249723434448,39.0,47.0,0.016595691442489624,0.9941087961196899,0.9951066374778748,7983.0,7931.0,0.9955000281333923,6.0,12.0,0.013434476219117641,0.994106113910675,0.9970443248748779,1958.0,2024.0
11,0.9935625195503235,49.0,54.0,0.020073095336556435,0.9932288527488708,0.9938519597053528,7976.0,7921.0,0.9947500228881836,4.0,17.0,0.016794757917523384,0.9916788935661316,0.9980295300483704,1953.0,2026.0
